code;name;fkko_code;hazard_class;description
FKKO-11411000000;Отходы минеральных удобрений, утративших потребительские свойства;1 14 110 00 00 0;0;
FKKO-11411111494;Удобрения минеральные азотные, утратившие потребительские свойства;1 14 111 11 49 4;4;
FKKO-11412000000;Отходы пестицидов, утративших потребительские свойства;1 14 120 00 00 0;0;
FKKO-11412100000;Отходы гербицидов, утративших потребительские свойства;1 14 121 00 00 0;0;
FKKO-11412165313;Гербицид на основе флурохлоридона, утративший потребительские свойства;1 14 121 65 31 3;3;
FKKO-11412166313;Гербицид на основе диметахлора, утративший потребительские свойства;1 14 121 66 31 3;3;
FKKO-11412200000;Отходы инсектицидов, утративших потребительские свойства;1 14 122 00 00 0;0;
FKKO-11412291292;Гексахлорановые дымовые шашки, утратившие потребительские свойства;1 14 122 91 29 2;2;
FKKO-11412300000;Отходы фунгицидов, утративших потребительские свойства;1 14 123 00 00 0;0;
FKKO-11412311412;Фундазол, утративший потребительские свойства;1 14 123 11 41 2;2;
FKKO-11412400000;Отходы инсектофунгицидов, утративших потребительские свойства;1 14 124 00 00 0;0;
FKKO-11412800000;Смеси пестицидов и агрохимикатов, утративших потребительские свойства;1 14 128 00 00 0;0;
FKKO-11412811302;Смесь жидких пестицидов 2 - 3 классов опасности, пригодная для термического обезвреживания;1 14 128 11 30 2;2;
FKKO-11412812402;Смесь твердых пестицидов 2 - 3 классов опасности, пригодная для термического обезвреживания;1 14 128 12 40 2;2;
FKKO-11412881711;Пестициды на основе хлорорганических соединений в смеси, содержащие грунт и остатки упаковки;1 14 128 81 71 1;1;
FKKO-11412891711;Отходы средств защиты растений неустановленного состава в смеси, содержащие грунт и остатки упаковки;1 14 128 91 71 1;1;
FKKO-11414000000;Прочие отходы средств ухода за растениями;1 14 140 00 00 0;0;
FKKO-11414100000;Пестициды, запрещенные к использованию;1 14 141 00 00 0;0;
FKKO-11414111493;Гербицид симазин, запрещенный к использованию;1 14 141 11 49 3;3;
FKKO-11419111494;Отходы грунта, загрязненные гербицидом 2 класса опасности (содержание гербицида менее 3%);1 14 191 11 49 4;4;
FKKO-11419711394;Жидкие отходы мойки полов объектов хранения средств защиты растений, содержащие нефтепродукты (содержание нефтепродуктов менее 15%);1 14 197 11 39 4;4;
FKKO-11420000000;Корма для животных, утратившие потребительские свойства;1 14 200 00 00 0;0;
FKKO-11421000000;Корма растительного происхождения, утратившие потребительские свойства;1 14 210 00 00 0;0;
FKKO-11421111495;Фуражное зерно, утратившее потребительские свойства;1 14 211 11 49 5;5;
FKKO-11421121395;Отходы силоса;1 14 211 21 39 5;5;
FKKO-11421811205;Смесь кормов растительного происхождения, утративших потребительские свойства;1 14 218 11 20 5;5;
FKKO-11421911395;Остатки кормов с раздаточных столов коровников, утратившие потребительские свойства;1 14 219 11 39 5;5;
FKKO-11460000000;Отходы объектов ветеринарной защиты;1 14 600 00 00 0;0;
FKKO-11461111394;Отходы очистки дезинфекционных барьеров животноводческих, птицеводческих и звероводческих предприятий;1 14 611 11 39 4;4;
FKKO-15000000000;ОТХОДЫ ПРИ ЛЕСОВОДСТВЕ И ЛЕСОЗАГОТОВКАХ;1 50 000 00 00 0;0;
FKKO-15100000000;Отходы при лесоводстве;1 51 000 00 00 0;0;
FKKO-15200000000;Отходы при лесозаготовках;1 52 000 00 00 0;0;
FKKO-15210000000;Отходы производства круглых лесоматериалов;1 52 100 00 00 0;0;
FKKO-15211000000;Отходы древесины от лесоразработок;1 52 110 00 00 0;0;
FKKO-15211001215;Отходы сучьев, ветвей, вершинок от лесоразработок;1 52 110 01 21 5;5;
FKKO-15211002215;Отходы корчевания пней;1 52 110 02 21 5;5;
FKKO-15211003235;Зелень древесная;1 52 110 03 23 5;5;
FKKO-15211004215;Отходы раскряжевки;1 52 110 04 21 5;5;
FKKO-15410000000;Прочие отходы при лесоводстве и лесозаготовках;1 54 100 00 00 0;0;
FKKO-15411001215;Отходы малоценной древесины (хворост, валежник, обломки стволов);1 54 110 01 21 5;5;
FKKO-17000000000;ОТХОДЫ ПРИ РЫБОЛОВСТВЕ, РЫБОВОДСТВЕ;1 70 000 00 00 0;0;
FKKO-17110000000;Отходы при рыболовстве;1 71 100 00 00 0;0;
FKKO-17115000000;Отходы первичной обработки кораллов, раковин и панцирей моллюсков, ракообразных, иглокожих;1 71 150 00 00 0;0;
FKKO-17115211205;Раковины рапан при их обработке;1 71 152 11 20 5;5;
FKKO-17115811495;Отходы переработки цист рачка артемии;1 71 158 11 49 5;5;
FKKO-17900000000;Отходы прочих видов деятельности при рыболовстве и рыбоводстве;1 79 000 00 00 0;0;
FKKO-17935111614;Отходы сетей и сетепошивочного материала из полиамидного волокна;1 79 351 11 61 4;4;
FKKO-17941001394;Осадок при отстаивании воды от стирки делей в растворе каустической соды практически неопасный;1 79 410 01 39 4;4;
FKKO-20000000000;ОТХОДЫ ДОБЫЧИ ПОЛЕЗНЫХ ИСКОПАЕМЫХ;2 00 000 00 00 0;0;
FKKO-20010000000;Отходы проведения вскрышных работ при добыче полезных ископаемых;2 00 100 00 00 0;0;
FKKO-20011000000;Скальные вскрышные породы;2 00 110 00 00 0;0;
FKKO-20011001205;Скальные вскрышные породы силикатные практически неопасные;2 00 110 01 20 5;5;
FKKO-20011002205;Скальные вскрышные породы карбонатные практически неопасные;2 00 110 02 20 5;5;
FKKO-20011003205;Скальные вскрышные породы кремнистые практически неопасные;2 00 110 03 20 5;5;
FKKO-20011004205;Скальные вскрышные породы сульфатные практически неопасные;2 00 110 04 20 5;5;
FKKO-20011099205;Скальные вскрышные породы в смеси практически неопасные;2 00 110 99 20 5;5;
FKKO-20012000000;Рыхлые вскрышные породы;2 00 120 00 00 0;0;
FKKO-20012001405;Гравийно-галечные вскрышные породы практически неопасные;2 00 120 01 40 5;5;
FKKO-20012002405;Песчаные вскрышные породы практически неопасные;2 00 120 02 40 5;5;
FKKO-20012003405;Супесчаные вскрышные породы практически неопасные;2 00 120 03 40 5;5;
FKKO-20012099405;Рыхлые вскрышные породы в смеси практически неопасные;2 00 120 99 40 5;5;
FKKO-20013000000;Связные вскрышные породы;2 00 130 00 00 0;0;
FKKO-20013001395;Глинистые вскрышные породы практически неопасные;2 00 130 01 39 5;5;
FKKO-20013002395;Суглинистые вскрышные породы практически неопасные;2 00 130 02 39 5;5;
FKKO-20013099395;Связные вскрышные породы в смеси практически неопасные;2 00 130 99 39 5;5;
FKKO-20016121395;Вскрышная порода рыхлая при проведении вскрышных работ гидромеханизированным способом;2 00 161 21 39 5;5;
FKKO-20019000000;Прочие вскрышные породы;2 00 190 00 00 0;0;
FKKO-20019099395;Вскрышные породы в смеси практически неопасные;2 00 190 99 39 5;5;
FKKO-21000000000;ОТХОДЫ ДОБЫЧИ ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИХ ПОЛЕЗНЫХ ИСКОПАЕМЫХ;2 10 000 00 00 0;0;
FKKO-21100000000;Отходы добычи и обогащения угля;2 11 000 00 00 0;0;
FKKO-21110000000;Отходы добычи угля открытым способом;2 11 100 00 00 0;0;
FKKO-21111111205;Вскрышная порода при добыче угля открытым способом;2 11 111 11 20 5;5;
FKKO-21111611395;Отходы извлечения угля из разубоженной породы противоточно-гравитационным методом;2 11 116 11 39 5;5;
FKKO-21120000000;Отходы добычи антрацита, коксующегося, бурого и других видов угля подземным способом;2 11 200 00 00 0;0;
FKKO-21121101205;Вскрышная пустая порода при проходке стволов шахт добычи угля;2 11 211 01 20 5;5;
FKKO-21122111205;Вмещающая порода при добыче угля подземным способом;2 11 221 11 20 5;5;
FKKO-21128000000;Отходы очистки шахтных вод и иных вод при добыче и обогащении угля;2 11 280 00 00 0;0;
FKKO-21128001334;Шлам угольный от механической очистки шахтных вод малоопасный;2 11 280 01 33 4;4;
FKKO-21128111395;Осадок механической очистки карьерных вод при добыче угля;2 11 281 11 39 5;5;
FKKO-21128211205;Отходы очистки флотацией шахтных вод при добыче угля;2 11 282 11 20 5;5;
FKKO-21128811395;Осадок механической очистки сточных вод с отвала вскрышных пород при добыче угля;2 11 288 11 39 5;5;
FKKO-21128911395;Осадок механической очистки смеси шахтных, карьерных, ливневых вод;2 11 289 11 39 5;5;
FKKO-21128921394;Осадок (ил) биологической очистки хозяйственно-бытовых и смешанных сточных вод при добыче угля;2 11 289 21 39 4;4;
FKKO-21130000000;Отходы обогащения антрацита, коксующегося, бурого и других видов угля;2 11 300 00 00 0;0;
FKKO-21131000000;Отходы при дроблении и переработке угольного сырья;2 11 310 00 00 0;0;
FKKO-21131001495;Отсев каменного угля в виде крошки;2 11 310 01 49 5;5;
FKKO-21131002424;Пыль газоочистки каменноугольная;2 11 310 02 42 4;4;
FKKO-21132000000;Отходы обогащения угольного сырья флотационным методом;2 11 320 00 00 0;0;
FKKO-21132211405;Остаток обезвоживания шламовой пульпы при флотационном обогащении угольного сырья;2 11 322 11 40 5;5;
FKKO-21133000000;Отходы обогащения угольного сырья гравитационными методами;2 11 330 00 00 0;0;
FKKO-21133111205;Отходы породы при обогащении рядового угля;2 11 331 11 20 5;5;
FKKO-21133201395;Отходы (шлам) мокрой классификации угольного сырья;2 11 332 01 39 5;5;
FKKO-21133301395;Отходы породы при обогащении угольного сырья в тяжелосредных сепараторах и отсадочных машинах;2 11 333 01 39 5;5;
FKKO-21138000000;Отходы очистки оборотной воды при обогащении угольного сырья;2 11 380 00 00 0;0;
FKKO-21138121205;Отходы (осадок) флокуляционной очистки оборотной воды при обогащении угольного сырья обезвоженный;2 11 381 21 20 5;5;
FKKO-21139000000;Прочие отходы обогащения антрацита, коксующегося, бурого и других видов угля;2 11 390 00 00 0;0;
FKKO-21139221204;Отходы зачистки отсадочных машин при обогащении угля;2 11 392 21 20 4;4;
FKKO-21171121424;Пыль газоочистки при проведении буровых работ для добычи угля;2 11 711 21 42 4;4;
FKKO-21190000000;Прочие отходы при добыче и обогащении угля;2 11 900 00 00 0;0;
FKKO-21197131725;Отходы (мусор) при уборке горных выработок добычи угля, содержащие преимущественно древесину;2 11 971 31 72 5;5;
FKKO-21200000000;Отходы добычи сырой нефти и природного газа;2 12 000 00 00 0;0;
FKKO-21210000000;Отходы добычи сырой нефти и нефтяного (попутного) газа;2 12 100 00 00 0;0;
FKKO-21210101313;Конденсат газовый нефтяного (попутного) газа;2 12 101 01 31 3;3;
FKKO-21210911393;Отходы сепарации природного газа при добыче сырой нефти и нефтяного (попутного) газа;2 12 109 11 39 3;3;
FKKO-21211124214;Отходы комовой серы при очистке нефтяного (попутного) газа;2 12 111 24 21 4;4;
FKKO-21212111314;Пластовая вода при добыче сырой нефти и нефтяного (попутного) газа (содержание нефти менее 15%);2 12 121 11 31 4;4;
FKKO-21217111393;Отходы зачистки сепарационного оборудования подготовки попутного нефтяного газа;2 12 171 11 39 3;3;
FKKO-21220000000;Отходы добычи природного газа и газового конденсата;2 12 200 00 00 0;0;
FKKO-21220111313;Эмульсия нефтесодержащая при очистке и осушке природного газа и/или газового конденсата;2 12 201 11 31 3;3;
FKKO-21220311394;Отходы очистки природного газа от механических примесей;2 12 203 11 39 4;4;
FKKO-21220911394;Отходы сепарации природного газа при добыче природного газа и газового конденсата;2 12 209 11 39 4;4;
FKKO-21221111313;Сорбент на основе жидких углеводородов, метанола, формальдегида и третичных аминов, отработанный при очистке природного газа и газового конденсата от сераорганических соединений;2 12 211 11 31 3;3;
FKKO-21280000000;Отходы очистки вод перед закачкой их в пласт при добыче сырой нефти и природного газа;2 12 800 00 00 0;0;
FKKO-21280111393;Отходы механической очистки пластовой воды перед закачкой ее в пласт при добыче сырой нефти и природного газа (содержание нефтепродуктов 15% и более);2 12 801 11 39 3;3;
FKKO-21280112394;Отходы механической очистки пластовой воды перед закачкой ее в пласт при добыче сырой нефти и природного газа (содержание нефтепродуктов менее 15%);2 12 801 12 39 4;4;
FKKO-21281111394;Отходы механической очистки сеноманской воды перед закачкой ее в пласт при добыче сырой нефти и природного газа;2 12 811 11 39 4;4;
FKKO-22000000000;ОТХОДЫ ДОБЫЧИ МЕТАЛЛИЧЕСКИХ РУД;2 20 000 00 00 0;0;
FKKO-22100000000;Отходы добычи и обогащения железных руд;2 21 000 00 00 0;0;
FKKO-22110000000;Отходы добычи железных руд подземным способом;2 21 100 00 00 0;0;
FKKO-22111111205;Вмещающая (пустая) порода при добыче железных руд подземным способом;2 21 111 11 20 5;5;
FKKO-22120000000;Отходы добычи железных руд открытым способом;2 21 200 00 00 0;0;
FKKO-22130000000;Отходы обогащения и агломерации железных руд;2 21 300 00 00 0;0;
FKKO-22131000000;Отходы (хвосты) обогащения железных руд;2 21 310 00 00 0;0;
FKKO-22131001395;Отходы (хвосты) мокрой магнитной сепарации железных руд;2 21 310 01 39 5;5;
FKKO-22131002395;Отходы (хвосты) сухой магнитной сепарации железных руд;2 21 310 02 39 5;5;
FKKO-22131211204;Отходы (хвосты) обогащения обожженного сидерита методом сухой магнитной сепарации;2 21 312 11 20 4;4;
FKKO-22132000000;Отходы агломерации железных руд;2 21 320 00 00 0;0;
FKKO-22132102404;Отходы (осадок) мокрой очистки газов агломерационного производства от соединений серы известковым молоком;2 21 321 02 40 4;4;
FKKO-22132203204;Осадок отстоя воды гидроуборки оборудования агломерации железных руд;2 21 322 03 20 4;4;
FKKO-22132221304;Осадок очистки загрязненных производственных вод при обогащении железных руд;2 21 322 21 30 4;4;
FKKO-22163111604;Ткань фильтровальная из синтетических волокон, отработанная при фильтрации и обезвоживании железорудного концентрата;2 21 631 11 60 4;4;
FKKO-22171121424;Пыль газоочистки при агломерации железных руд;2 21 711 21 42 4;4;
FKKO-22171131394;Осадок мокрой газоочистки при обогащении железных руд;2 21 711 31 39 4;4;
FKKO-22172111335;Отходы мокрой газоочистки при обогащении титаномагнетитовых железных руд;2 21 721 11 33 5;5;
FKKO-22181111395;Отходы (осадок) механической очистки шахтно-рудничных вод при добыче железных руд;2 21 811 11 39 5;5;
FKKO-22182111395;Отходы (осадок) механической очистки сточных вод дробления и обогащения железных руд;2 21 821 11 39 5;5;
FKKO-22200000000;Отходы добычи и обогащения руд цветных металлов;2 22 000 00 00 0;0;
FKKO-22210000000;Отходы добычи и обогащения медных руд;2 22 100 00 00 0;0;
FKKO-22211111205;Вмещающая (пустая) порода при добыче медноколчеданных руд;2 22 111 11 20 5;5;
FKKO-22211121205;Вскрышная порода слабоминерализованная при добыче медноколчеданных руд открытым способом;2 22 111 21 20 5;5;
FKKO-22212000000;Отходы обогащения медных руд;2 22 120 00 00 0;0;
FKKO-22212001395;Отходы (хвосты) обогащения медных руд практически неопасные;2 22 120 01 39 5;5;
FKKO-22212051395;Отходы (хвосты) обогащения медно-цинковых и медно-колчеданных руд;2 22 120 51 39 5;5;
FKKO-22212311395;Отходы (хвосты) флотации молибденово-медных руд;2 22 123 11 39 5;5;
FKKO-22212331395;Отходы (хвосты) обогащения флотацией медно-порфировых руд;2 22 123 31 39 5;5;
FKKO-22212911204;Отходы обогащения медных руд и шлака медеплавильного производства в смеси;2 22 129 11 20 4;4;
FKKO-22216123614;Ткань фильтровальная на основе полиэфирного волокна, отработанная при флотационном обогащении медно-порфировых руд;2 22 161 23 61 4;4;
FKKO-22217111424;Пыль газоочистки с преимущественным содержанием диоксида кремния при обогащении медно-цинковых руд;2 22 171 11 42 4;4;
FKKO-22217113423;Пыль газоочистки при обогащении медно-цинковых руд;2 22 171 13 42 3;3;
